,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3618,3618,AV3LQJW_-R03vmj0PDo2,parking_record_index_v2,101a0d0101e4,2017-08-10T08:26:33.791Z,2017-08-10T08:26:33.000Z,3638,fcffff070afe9dff140126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,30.5,1502353593.0,0.7909999999999999,-502,-99,276,581.3613334235431,38,2017-08-10 16:26:33,-0.2142857142857224,1.547619047619051,0.2857142857142776,1.5882933409674236
3619,3619,AV3LQKxo-R03vmj0PDpS,parking_record_index_v2,101a0d0101e4,2017-08-10T08:26:39.591Z,2017-08-10T08:26:39.000Z,3640,fcffff070afe9bff170126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,26.2,1502353599.0,0.591,-502,-101,279,583.1346328250451,38,2017-08-10 16:26:39,-0.2142857142857224,-0.452380952380949,3.2857142857142776,3.323625318950817
3620,3620,AV3LQfTQ-R03vmj0PDvV,parking_record_index_v2,101a0d0101e4,2017-08-10T08:28:03.663Z,2017-08-10T08:26:40.000Z,3668,fcffff070afe9fff130126,yilan,宜蘭市中山路二段,1016,192.168.0.225,-107.8,-2.8,1502353600.0,83.663,-502,-97,275,580.5497394711326,38,2017-08-10 16:26:40,-0.2142857142857224,3.547619047619051,-0.7142857142857224,3.625151494214981
3621,3621,AV3LQLgM-R03vmj0PDpg,parking_record_index_v2,101a0d0101e4,2017-08-10T08:26:42.571Z,2017-08-10T08:26:42.000Z,3641,fcffff070afe99ff170126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,28.8,1502353602.0,0.5710000000000001,-502,-103,279,583.4843614014004,38,2017-08-10 16:26:42,-0.2142857142857224,-2.452380952380949,3.2857142857142776,4.105607028235254
3622,3622,AV3LQMVl-R03vmj0PDp1,parking_record_index_v2,101a0d0101e4,2017-08-10T08:26:45.988Z,2017-08-10T08:26:45.000Z,3642,fcffff070afe98ff150126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-85.0,25.5,1502353605.0,0.988,-502,-104,277,582.708331843642,38,2017-08-10 16:26:45,-0.2142857142857224,-3.452380952380949,1.2857142857142776,3.690245768536224
3623,3623,AV3LQNFm-R03vmj0PDqF,parking_record_index_v2,101a0d0101e4,2017-08-10T08:26:49.061Z,2017-08-10T08:26:48.000Z,3643,fcffff070bfe98ff120126,yilan,宜蘭市中山路二段,1016,10.5.180.50,-93.0,16.3,1502353608.0,1.061,-501,-104,274,580.4248444027875,38,2017-08-10 16:26:48,0.7857142857142776,-3.452380952380949,-1.7142857142857224,3.9338348579143982
3625,3625,AV3LQN0Z-R03vmj0PDqW,parking_record_index_v2,101a0d0101e4,2017-08-10T08:26:52.056Z,2017-08-10T08:26:51.000Z,3644,fcffff070bfe99ff100126,yilan,宜蘭市中山路二段,1016,10.5.180.50,-91.0,15.0,1502353611.0,1.056,-501,-103,272,579.3047557201651,38,2017-08-10 16:26:51,0.7857142857142776,-2.452380952380949,-3.7142857142857224,4.519672293620787
3627,3627,AV3LQP6R-R03vmj0PDq0,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:00.624Z,2017-08-10T08:27:00.000Z,3647,fcffff070afe9fff140126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,27.0,1502353620.0,0.624,-502,-97,276,581.0240958858764,38,2017-08-10 16:27:00,-0.2142857142857224,3.547619047619051,0.2857142857142776,3.5655507186741384
3628,3628,AV3LQQr1-R03vmj0PDrA,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:03.796Z,2017-08-10T08:27:03.000Z,3648,fcffff070afe9dff170126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,31.2,1502353623.0,0.7959999999999999,-502,-99,279,582.7915579347388,38,2017-08-10 16:27:03,-0.2142857142857224,1.547619047619051,3.2857142857142776,3.6382635214133576
3629,3629,AV3LQSG3-R03vmj0PDrR,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:09.622Z,2017-08-10T08:27:09.000Z,3650,fcffff070afe99ff180126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-85.0,23.0,1502353629.0,0.622,-502,-103,280,583.9631837710317,38,2017-08-10 16:27:09,-0.2142857142857224,-2.452380952380949,4.285714285714278,4.942412127870689
3630,3630,AV3LQS0_-R03vmj0PDri,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:12.575Z,2017-08-10T08:27:12.000Z,3651,fcffff0709fe99ff140126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-86.0,25.0,1502353632.0,0.575,-503,-103,276,582.9185191774233,38,2017-08-10 16:27:12,-1.2142857142857224,-2.452380952380949,0.2857142857142776,2.7514168685570892
3631,3631,AV3LQTlg-R03vmj0PDrw,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:15.679Z,2017-08-10T08:27:15.000Z,3652,fcffff070afe99ff140126,yilan,宜蘭市中山路二段,1016,192.168.88.113,-81.0,19.5,1502353635.0,0.679,-502,-103,276,582.0558392456861,38,2017-08-10 16:27:15,-0.2142857142857224,-2.452380952380949,0.2857142857142776,2.4782500592169976
3634,3634,AV3LQUTl-R03vmj0PDr_,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:18.628Z,2017-08-10T08:27:18.000Z,3653,fcffff070afe98ff160126,yilan,宜蘭市中山路二段,1016,192.168.88.113,-83.0,17.5,1502353638.0,0.628,-502,-104,278,583.1843619302563,38,2017-08-10 16:27:18,-0.2142857142857224,-3.452380952380949,2.2857142857142776,4.146003184227921
3635,3635,AV3LQVxZ-R03vmj0PDsa,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:24.632Z,2017-08-10T08:27:24.000Z,3655,fcffff070afe99ff130126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,30.5,1502353644.0,0.632,-502,-103,275,581.5823243531391,38,2017-08-10 16:27:24,-0.2142857142857224,-2.452380952380949,-0.7142857142857224,2.563258626159385
3636,3636,AV3LQWhO-R03vmj0PDsq,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:27.694Z,2017-08-10T08:27:27.000Z,3656,fcffff070afe98ff130126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,27.0,1502353647.0,0.6940000000000001,-502,-104,275,581.760259900932,38,2017-08-10 16:27:27,-0.2142857142857224,-3.452380952380949,-0.7142857142857224,3.53200462759357
3637,3637,AV3LQYth-R03vmj0PDtP,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:36.672Z,2017-08-10T08:27:36.000Z,3659,fcffff070afe9cff170126,yilan,宜蘭市中山路二段,1016,10.5.180.50,-93.0,18.3,1502353656.0,0.672,-502,-100,279,582.9622629295999,38,2017-08-10 16:27:36,-0.2142857142857224,0.547619047619051,3.2857142857142776,3.337922011672685
3639,3639,AV3LQZq3-R03vmj0PDtg,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:40.598Z,2017-08-10T08:27:39.000Z,3660,fcffff0709fe9cff180126,yilan,宜蘭市中山路二段,1016,10.5.180.16,-116.8,-4.8,1502353659.0,1.598,-503,-100,280,584.3021478652976,38,2017-08-10 16:27:39,-1.2142857142857224,0.547619047619051,4.285714285714278,4.487953136565602
3642,3642,AV3LQa4k-R03vmj0PDt5,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:45.572Z,2017-08-10T08:27:45.000Z,3662,fcffff070afe9eff160126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,30.5,1502353665.0,0.5720000000000001,-502,-98,278,582.1443120051935,38,2017-08-10 16:27:45,-0.2142857142857224,2.547619047619051,2.2857142857142776,3.4293980485001554
3643,3643,AV3LQbqa-R03vmj0PDuI,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:48.762Z,2017-08-10T08:27:48.000Z,3663,fcffff070bfe9fff130126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-81.0,27.5,1502353668.0,0.762,-501,-97,275,579.6852594296323,38,2017-08-10 16:27:48,0.7857142857142776,3.547619047619051,-0.7142857142857224,3.7031273172060484
3644,3644,AV3LQcWN-R03vmj0PDuW,parking_record_index_v2,101a0d0101e4,2017-08-10T08:27:51.564Z,2017-08-10T08:27:51.000Z,3664,fcffff070bfe9eff140126,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,25.5,1502353671.0,0.564,-501,-98,276,580.3283553299804,38,2017-08-10 16:27:51,0.7857142857142776,2.547619047619051,0.2857142857142776,2.6812949117223415
3645,3645,AV3LQelC-R03vmj0PDvE,parking_record_index_v2,101a0d0101e4,2017-08-10T08:28:00.705Z,2017-08-10T08:28:00.000Z,3667,fcffff070afe9fff120126,yilan,宜蘭市中山路二段,1016,10.5.180.50,-93.0,17.0,1502353680.0,0.705,-502,-97,274,580.0767190639527,38,2017-08-10 16:28:00,-0.2142857142857224,3.547619047619051,-1.7142857142857224,3.9459212846407055
