,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3350,3350,AV4YD4kh-R03vmj0SOl-,parking_record_index_v2,101a0d0100c0,2017-08-25T06:23:44.928Z,2017-08-25T06:23:44.000Z,263,fcffff0745ff610084ff27,yilan,宜蘭市中山路二段,1015,10.5.151.1,-81.0,6.2,1503642224.0,0.9279999999999999,-187,97,-124,244.44631312417044,39,2017-08-25 14:23:44,-0.6399999999999864,-0.480000000000004,2.760000000000005,2.8736040089058923
3351,3351,AV4YD5Yj-R03vmj0SOmU,parking_record_index_v2,101a0d0100c0,2017-08-25T06:23:48.258Z,2017-08-25T06:23:47.000Z,264,fcffff0744ff5e0081ff27,yilan,宜蘭市中山路二段,1015,10.5.181.5,-116.8,-4.8,1503642227.0,1.258,-188,94,-127,245.57890788909376,39,2017-08-25 14:23:47,-1.6399999999999864,-3.480000000000004,-0.23999999999999488,3.85455574612691
3355,3355,AV4YD6GO-R03vmj0SOmo,parking_record_index_v2,101a0d0100c0,2017-08-25T06:23:51.181Z,2017-08-25T06:23:50.000Z,265,fcffff0745ff5d0081ff27,yilan,宜蘭市中山路二段,1015,192.168.88.113,-90.0,17.0,1503642230.0,1.181,-187,93,-127,244.43199463245395,39,2017-08-25 14:23:50,-0.6399999999999864,-4.480000000000004,-0.23999999999999488,4.531842892245937
3359,3359,AV4YD60d-R03vmj0SOnA,parking_record_index_v2,101a0d0100c0,2017-08-25T06:23:54.140Z,2017-08-25T06:23:53.000Z,266,fcffff0746ff5c0080ff27,yilan,宜蘭市中山路二段,1015,192.168.88.113,-88.0,17.0,1503642233.0,1.14,-186,92,-128,243.81140252252357,39,2017-08-25 14:23:53,0.36000000000001364,-5.480000000000004,-1.2399999999999949,5.630062166619481
3363,3363,AV4YD7lJ-R03vmj0SOnb,parking_record_index_v2,101a0d0100c0,2017-08-25T06:23:57.256Z,2017-08-25T06:23:56.000Z,267,fcffff0746ff5c0080ff27,yilan,宜蘭市中山路二段,1015,192.168.88.113,-88.0,14.5,1503642236.0,1.256,-186,92,-128,243.81140252252357,39,2017-08-25 14:23:56,0.36000000000001364,-5.480000000000004,-1.2399999999999949,5.630062166619481
3367,3367,AV4YD8V--R03vmj0SOn2,parking_record_index_v2,101a0d0100c0,2017-08-25T06:24:00.381Z,2017-08-25T06:23:59.000Z,268,fcffff0747ff5c007fff27,yilan,宜蘭市中山路二段,1015,192.168.88.113,-89.0,17.0,1503642239.0,1.381,-185,92,-129,243.57750306627256,39,2017-08-25 14:23:59,1.3600000000000136,-5.480000000000004,-2.239999999999995,6.074339470263418
3371,3371,AV4YD9Gf-R03vmj0SOoK,parking_record_index_v2,101a0d0100c0,2017-08-25T06:24:03.486Z,2017-08-25T06:24:02.000Z,269,fcffff0747ff5d007eff27,yilan,宜蘭市中山路二段,1015,192.168.88.113,-92.3,-5.3,1503642242.0,1.486,-185,93,-130,244.4872184798216,39,2017-08-25 14:24:02,1.3600000000000136,-4.480000000000004,-3.239999999999995,5.6936455808207835
3375,3375,AV4YD9yl-R03vmj0SOok,parking_record_index_v2,101a0d0100c0,2017-08-25T06:24:06.308Z,2017-08-25T06:24:05.000Z,270,fcffff0747ff60007dff27,yilan,宜蘭市中山路二段,1015,192.168.1.145,-121.5,-14.5,1503642245.0,1.308,-185,96,-131,246.1747346906258,39,2017-08-25 14:24:05,1.3600000000000136,-1.480000000000004,-4.239999999999995,4.692291551044117
3379,3379,AV4YD-iL-R03vmj0SOo9,parking_record_index_v2,101a0d0100c0,2017-08-25T06:24:09.354Z,2017-08-25T06:24:08.000Z,271,fcffff0747ff61007dff27,yilan,宜蘭市中山路二段,1015,10.5.180.38,-92.0,17.0,1503642248.0,1.354,-185,97,-131,246.56642107148332,39,2017-08-25 14:24:08,1.3600000000000136,-0.480000000000004,-4.239999999999995,4.478571200729089
3383,3383,AV4YD_QG-R03vmj0SOpX,parking_record_index_v2,101a0d0100c0,2017-08-25T06:24:12.293Z,2017-08-25T06:24:11.000Z,272,fcffff0746ff61007fff27,yilan,宜蘭市中山路二段,1015,10.5.180.38,-90.0,19.5,1503642251.0,1.2930000000000001,-186,97,-129,246.26408589154855,39,2017-08-25 14:24:11,0.36000000000001364,-0.480000000000004,-2.239999999999995,2.318965286501717
