,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3216,3216,AV3LOARd-R03vmj0PDEX,parking_record_index_v2,101a0d0100dc,2017-08-10T08:17:12.284Z,2017-08-10T08:17:11.000Z,3157,fcffff0700ffb2ff7bff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-70.0,1.2,1502353031.0,1.284,-256,-78,-133,298.84611424611165,33,2017-08-10 16:17:11,7.969230769230762,-11.58461538461539,10.553846153846166,17.58111547376262
3217,3217,AV3LODMh-R03vmj0PDFO,parking_record_index_v2,101a0d0100dc,2017-08-10T08:17:24.256Z,2017-08-10T08:17:23.000Z,3159,fcffff0701ffb6ff76ff21,yilan,宜蘭市中山路二段,1003,10.5.180.50,-90.0,24.5,1502353043.0,1.256,-255,-74,-138,299.2407057871639,33,2017-08-10 16:17:23,8.969230769230762,-7.58461538461539,5.553846153846166,12.993024983615332
3219,3219,AV3LOKmJ-R03vmj0PDG8,parking_record_index_v2,101a0d0100dc,2017-08-10T08:17:54.569Z,2017-08-10T08:17:53.000Z,3164,fcffff07fcfeb2ff79ff21,yilan,宜蘭市中山路二段,1003,10.5.151.1,-75.0,29.5,1502353073.0,1.569,-260,-78,-135,303.1649715913763,33,2017-08-10 16:17:53,3.9692307692307622,-11.58461538461539,8.553846153846166,14.937415791646982
3220,3220,AV3LOLO--R03vmj0PDHD,parking_record_index_v2,101a0d0100dc,2017-08-10T08:17:57.182Z,2017-08-10T08:17:56.000Z,3165,fcffff07fcfeb3ff79ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-71.0,24.5,1502353076.0,1.182,-260,-77,-135,302.9092273272638,34,2017-08-10 16:17:56,3.9692307692307622,-10.58461538461539,8.553846153846166,14.175935939588394
3221,3221,AV3LOL-Y-R03vmj0PDHV,parking_record_index_v2,101a0d0100dc,2017-08-10T08:18:00.215Z,2017-08-10T08:17:59.000Z,3166,fcffff07fcfeb3ff78ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-111.8,-4.8,1502353079.0,1.215,-260,-77,-136,303.35622624235026,34,2017-08-10 16:17:59,3.9692307692307622,-10.58461538461539,7.553846153846166,13.595935696215305
3222,3222,AV3LOMti-R03vmj0PDHf,parking_record_index_v2,101a0d0100dc,2017-08-10T08:18:03.233Z,2017-08-10T08:18:02.000Z,3167,fcffff07fcfeb1ff7aff22,yilan,宜蘭市中山路二段,1003,10.5.180.50,-98.0,-10.0,1502353082.0,1.233,-260,-79,-134,302.98019737269965,34,2017-08-10 16:18:02,3.9692307692307622,-12.58461538461539,9.553846153846166,16.291203565405098
3223,3223,AV3LOOLj-R03vmj0PDH4,parking_record_index_v2,101a0d0100dc,2017-08-10T08:18:09.250Z,2017-08-10T08:18:08.000Z,3168,fcffff07fdfeacff78ff21,yilan,宜蘭市中山路二段,1003,192.168.88.113,-76.0,3.8,1502353088.0,1.25,-259,-84,-136,304.35669862843497,33,2017-08-10 16:18:08,4.969230769230762,-17.58461538461539,7.553846153846166,19.77302567587213
3224,3224,AV3LOO_d-R03vmj0PDIN,parking_record_index_v2,101a0d0100dc,2017-08-10T08:18:12.572Z,2017-08-10T08:18:11.000Z,3169,fcffff07fdfeabff76ff22,yilan,宜蘭市中山路二段,1003,10.5.181.21,-134.0,-13.0,1502353091.0,1.5719999999999998,-259,-85,-138,305.5323223490438,34,2017-08-10 16:18:11,4.969230769230762,-18.58461538461539,5.553846153846166,20.023146369453144
3225,3225,AV3LORH7-R03vmj0PDIs,parking_record_index_v2,101a0d0100dc,2017-08-10T08:18:21.306Z,2017-08-10T08:18:20.000Z,3172,fcffff07fcfeb4ff76ff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-73.0,25.0,1502353100.0,1.306,-260,-76,-138,304.00657887618155,34,2017-08-10 16:18:20,3.9692307692307622,-9.58461538461539,5.553846153846166,11.76710890877645
3226,3226,AV3LOR0o-R03vmj0PDI9,parking_record_index_v2,101a0d0100dc,2017-08-10T08:18:24.167Z,2017-08-10T08:18:23.000Z,3173,fcffff07fcfeb3ff7aff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-70.0,15.5,1502353103.0,1.167,-260,-77,-134,302.46487399365895,34,2017-08-10 16:18:23,3.9692307692307622,-10.58461538461539,9.553846153846166,14.800839573179834
3227,3227,AV3LOTTu-R03vmj0PDJU,parking_record_index_v2,101a0d0100dc,2017-08-10T08:18:30.253Z,2017-08-10T08:18:29.000Z,3175,fcffff07fcfeafff79ff22,yilan,宜蘭市中山路二段,1003,10.5.180.50,-90.0,21.3,1502353109.0,1.253,-260,-81,-135,303.9506538897392,34,2017-08-10 16:18:29,3.9692307692307622,-14.58461538461539,8.553846153846166,17.367615922752236
3229,3229,AV3LOUDi-R03vmj0PDJj,parking_record_index_v2,101a0d0100dc,2017-08-10T08:18:33.313Z,2017-08-10T08:18:32.000Z,3176,fcffff07fcfeaeff7aff22,yilan,宜蘭市中山路二段,1003,10.5.151.1,-77.0,32.5,1502353112.0,1.3130000000000002,-260,-82,-134,303.77623343507304,34,2017-08-10 16:18:32,3.9692307692307622,-15.58461538461539,9.553846153846166,18.70590831574773
